Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable,Number of returns,Adjust gross income,Total income amount,Salaries and wages amount,State and local income taxes amount,Real estate taxes amount,Total taxes paid amount,Residential energy tax credit amount,Population served,Water systems,Cities served,Water system per capita
South Dakota Brule,South Dakota,Brule County,38,5310,0.921052632,0.078947368,0,27.7,0,0.857210259,2480,125392,128810,83120,0,49,179,0,5975,4,4,1493.75
South Dakota Buffa,South Dakota,Buffalo County,25,2050,1,0,\N,\N,\N,0.857210259,610,13462,13598,14369,0,0,0,0,2730,2,2,1365
South Dakota Butte,South Dakota,Butte County,139,10270,0.805755396,0.194244604,0,20.6,0,0.857210259,4790,233743,238192,159696,0,442,691,0,9087,12,12,757.25
South Dakota Campb,South Dakota,Campbell County,15,1555,1,0,0,\N,\N,0.857210259,740,37750,39546,22156,0,0,0,0,17247,3,3,5749
South Dakota Charl,South Dakota,Charles Mix County,97,9275,0.731958763,0.268041237,0,\N,\N,0.857210259,3660,183070,189427,109544,0,258,526,0,10362,7,7,1480.285714
South Dakota Clark,South Dakota,Clark County,19,3640,0.789473684,0.210526316,0,16.3,0,0.857210259,1710,93687,97664,49541,0,0,127,0,8704,12,12,725.3333333
South Dakota Codin,South Dakota,Codington County,74,27885,0.878378378,0.121621622,1,33.1,0,0.857210259,13840,861487,879521,560352,819,2088,3148,0,34196,10,10,3419.6
South Dakota Corso,South Dakota,Corson County,51,4170,0.921568627,0.078431373,0,87.1,0,0.857210259,1150,39986,41262,29304,0,0,0,0,936,4,4,234
South Dakota Custe,South Dakota,Custer County,93,8445,0.935483871,0.064516129,0,36.4,0,0.857210259,4380,277571,281767,146482,321,1421,1809,0,11579,50,50,231.58
South Dakota Davis,South Dakota,Davison County,121,19825,0.867768595,0.132231405,0,43.9,0,0.857210259,9790,594581,605887,384008,0,1440,1972,0,24552,6,6,4092
South Dakota Deuel,South Dakota,Deuel County,72,4310,0.75,0.25,0,\N,\N,0.857210259,2080,105587,109134,74797,0,148,281,0,10895,4,4,2723.75
South Dakota Dewey,South Dakota,Dewey County,25,5650,0.84,0.16,0,\N,\N,0.857210259,2360,89532,91281,77129,0,0,0,0,7620,5,5,1524
South Dakota Dougl,South Dakota,Douglas County,44,2960,0.863636364,0.136363636,0,\N,\N,0.857210259,1350,68738,71970,41066,0,62,149,0,19773,8,8,2471.625
South Dakota Edmun,South Dakota,Edmunds County,20,4000,0.75,0.25,0,48,0,0.857210259,1750,123156,127780,62664,0,207,339,0,19553,7,7,2793.285714
South Dakota Fall ,South Dakota,Fall River County,78,6875,0.897435897,0.102564103,0,79.7,0,0.857210259,3500,166829,169603,104315,0,366,588,0,\N,\N,\N,\N
South Dakota Faulk,South Dakota,Faulk County,44,2355,0.954545455,0.045454545,0,\N,\N,0.857210259,960,53866,56948,24129,0,0,38,0,17781,7,7,2540.142857
South Dakota Grant,South Dakota,Grant County,203,7195,0.852216749,0.147783251,0,68.3,0,0.857210259,3590,211491,217072,132570,0,324,599,0,8508,4,4,2127
South Dakota Grego,South Dakota,Gregory County,51,4215,0.921568627,0.078431373,0,\N,\N,0.857210259,1960,93339,96631,55123,0,97,196,0,7150,5,5,1430
South Dakota Haako,South Dakota,Haakon County,69,2075,0.898550725,0.101449275,0,38.1,0,0.857210259,990,46722,48371,28749,0,0,101,0,899,2,2,449.5
South Dakota Hamli,South Dakota,Hamlin County,58,5995,0.793103448,0.206896552,0,11.7,0,0.857210259,2700,165829,171054,103144,0,235,392,0,9509,8,8,1188.625
South Dakota Hanso,South Dakota,Hanson County,61,3390,0.885245902,0.114754098,\N,19.7,0,0.857210259,2010,127964,130843,64695,0,153,348,0,16000,4,4,4000
South Dakota Hardi,South Dakota,Harding County,49,1275,0.918367347,0.081632653,0,\N,\N,0.857210259,600,34654,36288,18758,0,0,0,0,330,1,1,330
South Dakota Hughe,South Dakota,Hughes County,41,17520,0.780487805,0.219512195,1,51.4,0,0.857210259,8780,553869,562986,383352,100,1351,1883,0,26443,6,6,4407.166667
South Dakota Hutch,South Dakota,Hutchinson County,152,7265,0.828947368,0.171052632,0,29.9,0,0.857210259,3320,187922,194463,112498,0,188,399,0,16521,5,5,3304.2
South Dakota Jacks,South Dakota,Jackson County,94,3270,0.840425532,0.159574468,0,13.4,0,0.857210259,1040,32886,34206,25430,0,0,0,0,876,3,3,292
South Dakota Jerau,South Dakota,Jerauld County,33,2030,0.787878788,0.212121212,0,4.5,0,0.857210259,860,39161,40730,25248,0,0,46,0,3842,3,3,1280.666667
South Dakota Jones,South Dakota,Jones County,36,765,0.805555556,0.194444444,0,15.6,0,0.857210259,510,21120,21788,13172,0,0,0,0,6290,3,3,2096.666667
South Dakota Kings,South Dakota,Kingsbury County,35,5070,0.714285714,0.285714286,0,47.1,0,0.857210259,2600,146589,150916,92073,0,174,316,0,5769,8,8,721.125
South Dakota Lawre,South Dakota,Lawrence County,129,24860,0.945736434,0.054263566,0,16.7,0,0.857210259,12780,865336,879233,488097,2409,4205,5421,0,22640,72,72,314.4444444
South Dakota Linco,South Dakota,Lincoln County,199,51395,0.748743719,0.251256281,0,42.4,0,0.857210259,30250,2983201,3028096,1991447,5860,18247,22692,72,41000,9,9,4555.555556
South Dakota Lyman,South Dakota,Lyman County,115,3855,0.895652174,0.104347826,0,\N,\N,0.857210259,1590,69018,70938,42648,0,0,67,0,10777,5,5,2155.4
South Dakota McCoo,South Dakota,McCook County,98,5615,0.857142857,0.142857143,0,12.1,0,0.857210259,2660,162811,167595,104815,0,194,365,0,34843,9,9,3871.444444
South Dakota McPhe,South Dakota,McPherson County,14,2250,0.928571429,0.071428571,0,\N,\N,0.857210259,950,47595,49326,25109,0,0,82,0,17893,3,3,5964.333333
South Dakota Marsh,South Dakota,Marshall County,37,4745,0.702702703,0.297297297,0,27.7,0,0.857210259,1930,107608,111155,66602,0,66,146,0,24766,10,10,2476.6
South Dakota Meade,South Dakota,Meade County,215,26840,0.851162791,0.148837209,0,24.9,0,0.857210259,14220,778783,791438,555767,333,2144,3266,0,24859,55,55,451.9818182
South Dakota Melle,South Dakota,Mellette County,28,2085,0.892857143,0.107142857,0,\N,\N,0.857210259,700,21255,22030,17380,0,0,0,0,5425,2,2,2712.5
South Dakota Miner,South Dakota,Miner County,62,2300,0.629032258,0.370967742,0,\N,\N,0.857210259,1120,57923,60258,35947,0,0,0,0,948,2,2,474
South Dakota Minne,South Dakota,Minnehaha County,388,182015,0.904639175,0.095360825,1,93.9,0,0.857210259,99950,7266330,7355438,4638059,9954,25969,43094,343,231808,16,16,14488
South Dakota Moody,South Dakota,Moody County,90,6445,0.755555556,0.244444444,0,\N,\N,0.857210259,2910,154677,158463,109290,0,239,413,0,8889,6,6,1481.5
South Dakota Penni,South Dakota,Pennington County,347,107300,0.893371758,0.106628242,1,105.4,9.7,0.857210259,57390,3728734,3787032,2226595,5452,15447,20679,255,124607,149,149,836.2885906
South Dakota Perki,South Dakota,Perkins County,60,3020,0.916666667,0.083333333,0,4.2,0,0.857210259,1300,52227,54658,35127,0,0,87,0,2010,3,3,670
South Dakota Potte,South Dakota,Potter County,25,2305,0.96,0.04,0,\N,\N,0.857210259,1150,77763,80860,36854,0,91,175,0,18222,5,5,3644.4
South Dakota Rober,South Dakota,Roberts County,158,10295,0.746835443,0.253164557,0,54.2,0,0.857210259,4320,221007,226399,136828,0,219,458,0,11182,12,12,931.8333333
South Dakota Sanbo,South Dakota,Sanborn County,59,2350,0.728813559,0.271186441,0,23,0,0.857210259,1080,52859,54537,33886,0,0,32,0,4411,6,6,735.1666667
South Dakota Spink,South Dakota,Spink County,177,6540,0.807909605,0.192090395,0,69.7,0,0.857210259,2840,165262,172769,94514,0,135,300,0,20149,11,11,1831.727273
South Dakota Stanl,South Dakota,Stanley County,36,2965,0.861111111,0.138888889,0,29.1,0,0.857210259,1590,106902,109107,68927,0,374,468,0,9472,3,3,3157.333333
South Dakota Sully,South Dakota,Sully County,29,1455,0.75862069,0.24137931,0,10.7,0,0.857210259,740,45033,47108,26727,0,0,149,0,12203,2,2,6101.5
South Dakota Tripp,South Dakota,Tripp County,89,5475,0.730337079,0.269662921,0,\N,\N,0.857210259,2610,117612,122233,77003,0,55,178,0,8240,3,3,2746.666667
South Dakota Turne,South Dakota,Turner County,137,8290,0.744525547,0.255474453,0,26.4,0,0.857210259,3960,219339,225854,154010,0,437,691,0,25391,10,10,2539.1
South Dakota Union,South Dakota,Union County,172,14840,0.86627907,0.13372093,0,44.8,0,0.857210259,7940,1194386,1207984,517312,7053,6040,6501,0,20718,9,9,2302
South Dakota Walwo,South Dakota,Walworth County,34,5540,0.970588235,0.029411765,0,41.1,0,0.857210259,2600,152155,155787,85295,0,140,250,0,20804,4,4,5201
South Dakota Yankt,South Dakota,Yankton County,103,22650,0.796116505,0.203883495,0,31.2,0,0.857210259,10990,663782,675492,458951,678,1546,2279,0,28752,12,12,2396
South Dakota Zieba,South Dakota,Ziebach County,30,2820,0.933333333,0.066666667,0,\N,\N,0.857210259,520,19478,19785,14730,0,0,0,0,3405,2,2,1702.5
Tennessee Ander,Tennessee,Anderson County,174,75545,0.965517241,0.034482759,0,78.8,0,0.945988112,34700,1988289,2009408,1381103,1291,4664,8450,50,90836,5,7,12976.57143
Tennessee Bedfo,Tennessee,Bedford County,290,46330,0.965517241,0.034482759,0,26,0,0.945988112,21250,1079167,1092844,820344,596,1716,3995,0,55672,3,5,11134.4
Tennessee Bento,Tennessee,Benton County,150,16175,0.96,0.04,0,12.7,0,0.945988112,6650,287604,291119,206315,0,300,712,0,12042,4,12,1003.5
Tennessee Bleds,Tennessee,Bledsoe County,84,14075,0.964285714,0.035714286,0,\N,\N,0.945988112,4620,197552,199733,151272,0,202,404,0,9550,1,4,2387.5
Tennessee Bloun,Tennessee,Blount County,196,126190,0.959183673,0.040816327,1,30.6,0,0.945988112,61690,3812737,3858856,2598044,4708,10900,19197,123,142849,5,17,8402.882353
Tennessee Bradl,Tennessee,Bradley County,199,102860,0.969849246,0.030150754,0,34.4,0,0.945988112,46410,2385299,2415790,1796565,2644,6038,11175,41,108783,3,5,21756.6
Tennessee Campb,Tennessee,Campbell County,132,40010,0.893939394,0.106060606,0,78.3,0,0.945988112,15000,676643,683747,502279,454,1019,1837,0,45731,4,8,5716.375
Tennessee Canno,Tennessee,Cannon County,158,13855,0.905063291,0.094936709,0,\N,\N,0.945988112,6350,303744,306990,230941,0,274,714,0,10505,1,1,10505
Tennessee Carro,Tennessee,Carroll County,244,28415,0.967213115,0.032786885,0,49.2,0,0.945988112,11350,514764,520862,386062,86,526,1231,0,19716,9,11,1792.363636
Tennessee Carte,Tennessee,Carter County,195,56705,0.825641026,0.174358974,0,4.9,0,0.945988112,23080,1013098,1024525,733117,510,1521,2783,19,59816,6,23,2600.695652
Tennessee Cheat,Tennessee,Cheatham County,127,39575,0.94488189,0.05511811,0,10.6,0,0.945988112,19660,1147646,1164509,872436,358,2249,4152,0,38894,4,4,9723.5
Tennessee Chest,Tennessee,Chester County,127,17355,0.968503937,0.031496063,\N,9.5,0,0.945988112,6780,310669,314308,239135,0,312,815,0,9541,1,6,1590.166667
Tennessee Claib,Tennessee,Claiborne County,95,31700,0.936842105,0.063157895,0,31.9,0,0.945988112,12330,545436,551324,417127,632,714,1664,0,30424,5,8,3803
Tennessee Cocke,Tennessee,Cocke County,187,35255,0.893048128,0.106951872,0,31.2,0,0.945988112,15160,576826,581789,440388,182,688,1284,37,34331,1,8,4291.375
Tennessee Coffe,Tennessee,Coffee County,215,53810,0.962790698,0.037209302,0,36.2,0,0.945988112,25120,1290028,1306034,930258,656,2627,4587,40,61443,2,11,5585.727273
Tennessee Crock,Tennessee,Crockett County,163,14560,0.981595092,0.018404908,\N,11.9,0,0.945988112,6060,279108,282961,217959,0,221,696,0,16883,5,6,2813.833333
Tennessee Cumbe,Tennessee,Cumberland County,136,57895,0.948529412,0.051470588,0,10.5,0,0.945988112,27280,1490182,1508093,720220,1346,2466,5218,53,70238,2,7,10034
Tennessee David,Tennessee,Davidson County,801,667885,0.962546816,0.037453184,1,128,13.4,0.945988112,348200,29241933,29699803,18558960,101834,138954,183635,1596,842116,3,4,210529
Tennessee Decat,Tennessee,Decatur County,105,11705,0.971428571,0.028571429,\N,\N,\N,0.945988112,4590,210253,212571,153330,0,160,465,0,13179,4,8,1647.375
Tennessee DeKal,Tennessee,DeKalb County,100,19160,0.98,0.02,0,\N,\N,0.945988112,8100,375630,381248,282418,0,433,990,0,25589,2,6,4264.833333
Tennessee Dicks,Tennessee,Dickson County,240,50925,0.945833333,0.054166667,0,32.2,0,0.945988112,24180,1328100,1345056,981190,471,2007,4096,23,66161,2,3,22053.66667
Tennessee Fayet,Tennessee,Fayette County,335,39070,0.913432836,0.086567164,0,38.6,0,0.945988112,19930,1454385,1473855,1025166,1448,4348,10629,106,24212,6,15,1614.133333
Tennessee Fentr,Tennessee,Fentress County,56,17935,0.857142857,0.142857143,0,\N,\N,0.945988112,7100,294381,298677,204811,146,391,739,0,24892,1,4,6223
Tennessee Frank,Tennessee,Franklin County,154,41350,0.987012987,0.012987013,0,32.5,0,0.945988112,18590,1014029,1027687,700375,968,1873,3607,0,46342,8,9,5149.111111
Tennessee Gibso,Tennessee,Gibson County,396,49510,0.906565657,0.093434343,0,74.3,0,0.945988112,21070,1006677,1019856,763730,287,1249,2784,30,42214,13,15,2814.266667
Tennessee Giles,Tennessee,Giles County,321,29035,0.975077882,0.024922118,0,37.9,0,0.945988112,12980,634291,642090,468723,714,780,1964,0,32156,2,7,4593.714286
Tennessee Grain,Tennessee,Grainger County,87,22815,0.908045977,0.091954023,0,15.5,0,0.945988112,9540,436503,441235,332112,206,462,1092,0,12044,3,10,1204.4
Tennessee Green,Tennessee,Greene County,308,68500,0.970779221,0.029220779,0,30.8,0,0.945988112,29500,1325807,1341067,974506,825,2109,4508,57,84818,2,9,9424.222222
Tennessee Grund,Tennessee,Grundy County,85,13495,0.988235294,0.011764706,0,\N,\N,0.945988112,5580,230252,232864,173617,0,162,385,0,16600,3,4,4150
Tennessee Hambl,Tennessee,Hamblen County,119,63205,0.983193277,0.016806723,0,40.9,0,0.945988112,27050,1354851,1370961,984263,490,1848,3850,35,80268,1,5,16053.6
Tennessee Hamil,Tennessee,Hamilton County,457,351305,0.95404814,0.04595186,1,144.8,2.8,0.945988112,168250,11785058,11954053,7970037,26670,54876,80739,569,380340,7,11,34576.36364
Tennessee Hanco,Tennessee,Hancock County,61,6610,0.967213115,0.032786885,0,\N,\N,0.945988112,2290,82951,83762,64385,0,0,96,0,2304,1,1,2304
Tennessee Harde,Tennessee,Hardeman County,224,25975,0.977678571,0.022321429,0,25,0,0.945988112,9630,379321,383332,294788,76,414,1288,82,19033,9,17,1119.588235
Tennessee Hardi,Tennessee,Hardin County,189,25840,0.931216931,0.068783069,0,5.2,0,0.945988112,10610,522427,529369,362536,517,856,1912,0,28688,4,5,5737.6
Tennessee Hawki,Tennessee,Hawkins County,186,56565,0.924731183,0.075268817,0,54.6,0,0.945988112,23530,1081609,1091159,813788,493,1572,3062,37,47390,7,13,3645.384615
Tennessee Haywo,Tennessee,Haywood County,240,18130,0.954166667,0.045833333,0,28.9,0,0.945988112,7870,311262,314644,240334,0,533,1375,58,19540,2,5,3908
Tennessee Hende,Tennessee,Henderson County,204,27950,0.990196078,0.009803922,0,\N,\N,0.945988112,11620,537799,543660,409964,68,468,1097,0,30301,3,4,7575.25
Tennessee Henry,Tennessee,Henry County,186,32290,0.946236559,0.053763441,0,38.4,0,0.945988112,14210,669920,681059,441660,466,939,2144,0,25248,6,22,1147.636364
Tennessee Hickm,Tennessee,Hickman County,330,24250,0.927272727,0.072727273,0,35.2,0,0.945988112,9800,439037,444017,338467,0,457,1044,0,22322,3,9,2480.222222
Tennessee Houst,Tennessee,Houston County,118,8235,0.949152542,0.050847458,0,\N,\N,0.945988112,3310,152969,154861,116641,0,110,295,0,10831,2,2,5415.5
Tennessee Humph,Tennessee,Humphreys County,248,18215,0.931451613,0.068548387,0,32.8,0,0.945988112,8090,417254,421748,297285,0,415,948,0,15642,3,17,920.1176471
Tennessee Jacks,Tennessee,Jackson County,130,11525,0.992307692,0.007692308,0,\N,\N,0.945988112,4560,186418,188750,140958,0,122,320,0,9510,1,5,1902
Tennessee Jeffe,Tennessee,Jefferson County,122,52850,0.868852459,0.131147541,0,23.6,0,0.945988112,23490,1200242,1214951,843265,1314,2345,4548,25,52220,4,19,2748.421053
Tennessee Johns,Tennessee,Johnson County,111,17925,0.954954955,0.045045045,0,\N,\N,0.945988112,6280,281646,284970,191614,469,439,1056,0,14288,4,12,1190.666667
Tennessee Laude,Tennessee,Lauderdale County,266,27260,0.936090226,0.063909774,0,26,26,0.945988112,9390,406466,410098,299141,0,369,1193,0,32234,6,6,5372.333333
Tennessee Lawre,Tennessee,Lawrence County,211,42405,0.985781991,0.014218009,0,41.1,0,0.945988112,17300,804684,814478,605397,250,782,1858,0,40809,5,12,3400.75
Tennessee Lewis,Tennessee,Lewis County,134,11905,0.970149254,0.029850746,0,11,0,0.945988112,5110,220646,223382,167716,0,255,599,0,11342,2,4,2835.5
Tennessee Linco,Tennessee,Lincoln County,301,33580,0.973421927,0.026578073,0,6.2,0,0.945988112,15390,770913,781247,579909,1277,1011,2856,0,37973,2,4,9493.25
Tennessee Loudo,Tennessee,Loudon County,113,50635,0.96460177,0.03539823,0,26.4,0,0.945988112,25460,1791835,1813723,1035433,2896,5874,10741,88,54300,2,5,10860
Tennessee McMin,Tennessee,McMinn County,219,52605,0.99086758,0.00913242,0,57.1,0,0.945988112,22620,1093035,1105429,808050,410,1241,2914,17,51162,4,11,4651.090909
Tennessee McNai,Tennessee,McNairy County,219,26055,0.98630137,0.01369863,0,42.2,0,0.945988112,10150,446668,451803,342474,297,378,1042,0,34281,5,6,5713.5
Tennessee Macon,Tennessee,Macon County,168,22925,0.982142857,0.017857143,0,\N,\N,0.945988112,9760,415436,421099,326898,0,196,601,0,24969,2,2,12484.5
Tennessee Madis,Tennessee,Madison County,423,98130,0.95035461,0.04964539,1,64.9,0,0.945988112,43720,2391441,2425576,1711870,1536,6596,12807,144,104025,2,21,4953.571429
Tennessee Mario,Tennessee,Marion County,173,28365,0.98265896,0.01734104,0,19.4,0,0.945988112,12320,641777,648372,468448,465,1024,2085,0,26025,5,9,2891.666667
Tennessee Marsh,Tennessee,Marshall County,239,31335,0.9958159,0.0041841,0,28.9,0,0.945988112,15460,773815,781502,603493,351,952,1954,0,32462,2,4,8115.5
Tennessee Maury,Tennessee,Maury County,421,85765,0.923990499,0.076009501,0,57.9,0,0.945988112,45700,2670974,2704283,1943036,2020,5942,11103,133,136686,3,4,34171.5
Tennessee Meigs,Tennessee,Meigs County,73,11805,0.917808219,0.082191781,0,\N,\N,0.945988112,5220,259039,261130,189504,159,332,771,0,6026,1,2,3013
Tennessee Monro,Tennessee,Monroe County,143,45480,0.923076923,0.076923077,0,27.1,0,0.945988112,19110,953453,963712,666180,892,1779,3405,41,47759,5,14,3411.357143
Tennessee Montg,Tennessee,Montgomery County,187,189710,0.909090909,0.090909091,0,40.2,0,0.945988112,89260,4606210,4663796,3462352,3426,9383,17605,293,300239,2,7,42891.28571
Tennessee Moore,Tennessee,Moore County,68,6315,0.970588235,0.029411765,\N,\N,\N,0.945988112,2830,164818,166696,120555,0,188,457,0,6586,1,2,3293
Tennessee Morga,Tennessee,Morgan County,115,21690,0.895652174,0.104347826,\N,30.1,0,0.945988112,7560,347457,350117,274812,0,319,646,0,12982,1,1,12982
Tennessee Obion,Tennessee,Obion County,366,30900,0.969945355,0.030054645,0,43.5,27.8,0.945988112,13540,632011,641096,421968,485,694,1704,0,32125,7,11,2920.454545
Tennessee Overt,Tennessee,Overton County,78,22090,0.961538462,0.038461538,0,\N,\N,0.945988112,9250,401010,406572,300921,116,433,1062,0,30518,1,4,7629.5
Tennessee Perry,Tennessee,Perry County,153,7890,0.973856209,0.026143791,0,\N,\N,0.945988112,3230,141017,142592,102065,0,97,307,0,9348,2,2,4674
Tennessee Picke,Tennessee,Pickett County,27,5095,1,0,\N,\N,\N,0.945988112,2210,99526,100952,65787,0,139,369,0,7060,1,1,7060
Tennessee Putna,Tennessee,Putnam County,166,74650,1,0,0,39.3,0,0.945988112,33360,1853350,1883865,1232440,1176,3937,7494,37,97515,4,9,10835
Tennessee Roane,Tennessee,Roane County,158,52985,0.962025316,0.037974684,0,65.5,0,0.945988112,23390,1363322,1377447,949075,845,3809,6440,43,71364,5,9,7929.333333
Tennessee Rober,Tennessee,Robertson County,204,67905,0.965686275,0.034313725,0,25.9,0,0.945988112,33940,1873548,1897794,1458825,959,3950,7834,41,54519,3,4,13629.75
Tennessee Ruthe,Tennessee,Rutherford County,425,290290,0.952941176,0.047058824,0,35.8,0,0.945988112,151390,8943241,9052180,6998353,5051,21568,41571,507,361778,4,5,72355.6
Tennessee Scott,Tennessee,Scott County,111,22030,0.90990991,0.09009009,0,68.3,0,0.945988112,8040,326646,329943,259748,0,365,677,0,25020,2,4,6255
Tennessee Sequa,Tennessee,Sequatchie County,66,14710,1,0,0,\N,\N,0.945988112,6270,329208,332848,229018,196,567,1227,0,10415,1,5,2083
Tennessee Sevie,Tennessee,Sevier County,271,94535,0.970479705,0.029520295,0,\N,\N,0.945988112,46450,2231693,2262576,1496242,1915,3969,8125,83,74650,12,50,1493
Tennessee Shelb,Tennessee,Shelby County,1076,936990,0.961895911,0.038104089,1,171.2,32.1,0.945988112,427050,28046454,28409294,20062540,52240,194261,279419,3982,857049,6,7,122435.5714
Tennessee Smith,Tennessee,Smith County,202,19175,0.95049505,0.04950495,\N,23,0,0.945988112,8690,443556,449699,336079,0,387,879,0,20989,2,7,2998.428571
Tennessee Stewa,Tennessee,Stewart County,161,13255,0.98136646,0.01863354,0,2.2,0,0.945988112,5690,270895,273911,194402,0,290,624,0,13132,6,16,820.75
Tennessee Sulli,Tennessee,Sullivan County,367,156645,0.970027248,0.029972752,1,40.2,0,0.945988112,70940,4004499,4052310,2800116,5690,10504,18089,190,187121,5,21,8910.52381
Tennessee Sumne,Tennessee,Sumner County,388,172785,0.994845361,0.005154639,0,44.3,0,0.945988112,88860,6297171,6390192,4446758,9897,21841,37609,160,244731,5,6,40788.5
Tennessee Tipto,Tennessee,Tipton County,202,61560,0.975247525,0.024752475,0,26.4,22,0.945988112,26670,1414819,1428324,1109051,492,2130,6477,106,68241,5,8,8530.125
Tennessee Trous,Tennessee,Trousdale County,87,7970,0.977011494,0.022988506,\N,\N,\N,0.945988112,3920,189914,192382,144804,0,152,354,0,8147,1,1,8147
Tennessee Unico,Tennessee,Unicoi County,161,17945,0.962732919,0.037267081,\N,16.3,0,0.945988112,7460,346749,350129,247368,206,492,1051,15,17679,1,6,2946.5
Tennessee Union,Tennessee,Union County,59,19080,0.915254237,0.084745763,0,7.2,0,0.945988112,7690,345584,349147,260362,159,413,861,0,17294,3,9,1921.555556
Tennessee Van B,Tennessee,Van Buren County,37,5640,1,0,0,\N,\N,0.945988112,2360,96498,97340,69031,0,116,273,0,5306,1,1,5306
Tennessee Warre,Tennessee,Warren County,160,40100,0.975,0.025,0,25.1,0,0.945988112,16880,732828,744517,547796,182,609,1502,0,57036,3,3,19012
Tennessee Washi,Tennessee,Washington County,282,126045,0.946808511,0.053191489,0,47.3,0,0.945988112,57300,3512185,3562290,2415659,4080,11384,18678,119,139651,2,2,69825.5
Tennessee Wayne,Tennessee,Wayne County,270,16840,0.962962963,0.037037037,0,0.1,0,0.945988112,5730,247871,251054,192362,167,239,733,0,11236,3,13,864.3076923
Tennessee Weakl,Tennessee,Weakley County,351,34025,0.971509972,0.028490028,0,33,0,0.945988112,12830,613168,621002,436539,245,596,1630,0,20880,5,10,2088
Tennessee White,Tennessee,White County,70,26375,0.957142857,0.042857143,0,12.9,0,0.945988112,11360,488592,494721,357004,103,465,1040,0,34753,2,5,6950.6
Tennessee Willi,Tennessee,Williamson County,501,205645,0.974051896,0.025948104,\N,45.4,0,0.945988112,108820,15757540,16040457,10120674,57546,94860,147729,647,203608,3,8,25451
Tennessee Wilso,Tennessee,Wilson County,383,125615,0.976501305,0.023498695,0,36.5,17.9,0.945988112,68220,4902551,4969952,3591909,4868,14608,27160,163,168081,4,6,28013.5
Texas Ander,Texas,Anderson County,168,57770,0.994047619,0.005952381,0,65.1,14.5,0.891372329,19630,974883,985291,724381,178,3458,5938,101,83424,0,28,2979.428571
Texas Andre,Texas,Andrews County,1,17215,1,0,0,3.8,0,0.891372329,7610,611582,615903,471395,208,2165,2788,131,14857,0,8,1857.125
Texas Angel,Texas,Angelina County,175,87655,0.982857143,0.017142857,0,47.9,0,0.891372329,36320,1890488,1910071,1346112,501,7730,9781,224,92873,0,28,3316.892857
Texas Arans,Texas,Aransas County,20,24730,1,0,0,3,0,0.891372329,10960,671802,680781,382594,227,4422,4967,59,33833,0,13,2602.538462
Texas Arche,Texas,Archer County,125,8750,0.976,0.024,0,\N,\N,0.891372329,3940,268392,272757,177967,0,1449,1857,0,8569,0,7,1224.142857
Texas Armst,Texas,Armstrong County,12,1915,0.916666667,0.083333333,0,32,0,0.891372329,860,46861,47832,34906,0,0,97,0,1477,0,3,492.3333333
Texas Atasc,Texas,Atascosa County,176,47710,0.988636364,0.011363636,0,55.7,0,0.891372329,21320,1163494,1174032,838035,177,3956,5782,293,38422,0,11,3492.909091
Texas Austi,Texas,Austin County,227,29105,0.969162996,0.030837004,0,71.7,0,0.891372329,14390,1062217,1074614,653977,249,6859,8304,89,20686,0,31,667.2903226
Texas Baile,Texas,Bailey County,4,7130,1,0,0,22.1,0,0.891372329,2610,113764,115788,84690,0,264,409,0,5328,0,3,1776
Texas Bande,Texas,Bandera County,67,21015,1,0,0,\N,\N,0.891372329,10180,682808,690266,374355,654,4552,5416,280,21103,0,65,324.6615385
Texas Bastr,Texas,Bastrop County,237,78285,0.991561181,0.008438819,0,95.4,0,0.891372329,38640,2152305,2175390,1528462,700,13500,15633,955,92306,0,16,5769.125
Texas Baylo,Texas,Baylor County,61,3640,0.950819672,0.049180328,0,\N,\N,0.891372329,1460,79400,81471,46697,0,120,248,0,5198,0,2,2599
Texas Bexar,Texas,Bexar County,2240,1858700,0.999107143,0.000892857,1,166.6,81.3,0.891372329,895170,56492436,57037273,39595525,36275,498024,502808,25736,2334398,0,92,25373.8913
Texas Blanc,Texas,Blanco County,62,10920,1,0,0,\N,\N,0.891372329,5610,433013,439559,241349,705,4068,4240,116,8396,0,16,524.75
Texas Borde,Texas,Borden County,52,700,1,0,\N,\N,\N,0.891372329,290,34236,34632,11245,0,0,86,0,300,0,1,300
Texas Bosqu,Texas,Bosque County,143,17955,0.993006993,0.006993007,0,39,39,0.891372329,7930,444061,448745,287866,0,1606,2020,32,20996,0,33,636.2424242
Texas Bowie,Texas,Bowie County,333,93485,0.996996997,0.003003003,0,126.4,8.8,0.891372329,39880,2282698,2305897,1497737,2984,10690,12760,156,97760,0,20,4888
Texas Brews,Texas,Brewster County,113,9190,0.991150442,0.008849558,0,108.6,80.1,0.891372329,4360,265887,269366,147935,0,869,1052,48,9393,0,14,670.9285714
Texas Brisc,Texas,Briscoe County,18,1670,1,0,0,\N,\N,0.891372329,600,29616,30003,17825,0,0,0,0,1700,0,5,340
Texas Brook,Texas,Brooks County,52,7215,0.961538462,0.038461538,0,\N,\N,0.891372329,2820,96543,97289,82060,0,90,214,106,8700,0,4,2175
Texas Brown,Texas,Brown County,222,37935,0.981981982,0.018018018,0,50.1,0,0.891372329,16030,803553,812174,563083,0,2822,3449,0,44158,0,9,4906.444444
