Hash,State,County,Number of returns,Adjust gross income,Total income amount,Salaries and wages amount,State and local income taxes amount,Real estate taxes amount,Total taxes paid amount,Residential energy tax credit amount
South Dakota Dougl,South Dakota,Douglas County,1350.0000,68738.0000,71970.0000,41066.0000,0.0000,62.0000,149.0000,0.0000
South Dakota Edmun,South Dakota,Edmunds County,1750.0000,123156.0000,127780.0000,62664.0000,0.0000,207.0000,339.0000,0.0000
South Dakota Fall ,South Dakota,Fall River County,3500.0000,166829.0000,169603.0000,104315.0000,0.0000,366.0000,588.0000,0.0000
South Dakota Faulk,South Dakota,Faulk County,960.0000,53866.0000,56948.0000,24129.0000,0.0000,0.0000,38.0000,0.0000
South Dakota Grant,South Dakota,Grant County,3590.0000,211491.0000,217072.0000,132570.0000,0.0000,324.0000,599.0000,0.0000
South Dakota Grego,South Dakota,Gregory County,1960.0000,93339.0000,96631.0000,55123.0000,0.0000,97.0000,196.0000,0.0000
South Dakota Haako,South Dakota,Haakon County,990.0000,46722.0000,48371.0000,28749.0000,0.0000,0.0000,101.0000,0.0000
South Dakota Hamli,South Dakota,Hamlin County,2700.0000,165829.0000,171054.0000,103144.0000,0.0000,235.0000,392.0000,0.0000
South Dakota Hanso,South Dakota,Hanson County,2010.0000,127964.0000,130843.0000,64695.0000,0.0000,153.0000,348.0000,0.0000
South Dakota Hardi,South Dakota,Harding County,600.0000,34654.0000,36288.0000,18758.0000,0.0000,0.0000,0.0000,0.0000
South Dakota Hughe,South Dakota,Hughes County,8780.0000,553869.0000,562986.0000,383352.0000,100.0000,1351.0000,1883.0000,0.0000
South Dakota Hutch,South Dakota,Hutchinson County,3320.0000,187922.0000,194463.0000,112498.0000,0.0000,188.0000,399.0000,0.0000
South Dakota Jacks,South Dakota,Jackson County,1040.0000,32886.0000,34206.0000,25430.0000,0.0000,0.0000,0.0000,0.0000
South Dakota Jerau,South Dakota,Jerauld County,860.0000,39161.0000,40730.0000,25248.0000,0.0000,0.0000,46.0000,0.0000
South Dakota Jones,South Dakota,Jones County,510.0000,21120.0000,21788.0000,13172.0000,0.0000,0.0000,0.0000,0.0000
South Dakota Kings,South Dakota,Kingsbury County,2600.0000,146589.0000,150916.0000,92073.0000,0.0000,174.0000,316.0000,0.0000
South Dakota Lawre,South Dakota,Lawrence County,12780.0000,865336.0000,879233.0000,488097.0000,2409.0000,4205.0000,5421.0000,0.0000
South Dakota Linco,South Dakota,Lincoln County,30250.0000,2983201.0000,3028096.0000,1991447.0000,5860.0000,18247.0000,22692.0000,72.0000
South Dakota Lyman,South Dakota,Lyman County,1590.0000,69018.0000,70938.0000,42648.0000,0.0000,0.0000,67.0000,0.0000
South Dakota McCoo,South Dakota,McCook County,2660.0000,162811.0000,167595.0000,104815.0000,0.0000,194.0000,365.0000,0.0000
South Dakota McPhe,South Dakota,McPherson County,950.0000,47595.0000,49326.0000,25109.0000,0.0000,0.0000,82.0000,0.0000
South Dakota Marsh,South Dakota,Marshall County,1930.0000,107608.0000,111155.0000,66602.0000,0.0000,66.0000,146.0000,0.0000
South Dakota Meade,South Dakota,Meade County,14220.0000,778783.0000,791438.0000,555767.0000,333.0000,2144.0000,3266.0000,0.0000
South Dakota Melle,South Dakota,Mellette County,700.0000,21255.0000,22030.0000,17380.0000,0.0000,0.0000,0.0000,0.0000
South Dakota Miner,South Dakota,Miner County,1120.0000,57923.0000,60258.0000,35947.0000,0.0000,0.0000,0.0000,0.0000
South Dakota Minne,South Dakota,Minnehaha County,99950.0000,7266330.0000,7355438.0000,4638059.0000,9954.0000,25969.0000,43094.0000,343.0000
South Dakota Moody,South Dakota,Moody County,2910.0000,154677.0000,158463.0000,109290.0000,0.0000,239.0000,413.0000,0.0000
South Dakota Penni,South Dakota,Pennington County,57390.0000,3728734.0000,3787032.0000,2226595.0000,5452.0000,15447.0000,20679.0000,255.0000
South Dakota Perki,South Dakota,Perkins County,1300.0000,52227.0000,54658.0000,35127.0000,0.0000,0.0000,87.0000,0.0000
South Dakota Potte,South Dakota,Potter County,1150.0000,77763.0000,80860.0000,36854.0000,0.0000,91.0000,175.0000,0.0000
South Dakota Rober,South Dakota,Roberts County,4320.0000,221007.0000,226399.0000,136828.0000,0.0000,219.0000,458.0000,0.0000
South Dakota Sanbo,South Dakota,Sanborn County,1080.0000,52859.0000,54537.0000,33886.0000,0.0000,0.0000,32.0000,0.0000
South Dakota Spink,South Dakota,Spink County,2840.0000,165262.0000,172769.0000,94514.0000,0.0000,135.0000,300.0000,0.0000
South Dakota Stanl,South Dakota,Stanley County,1590.0000,106902.0000,109107.0000,68927.0000,0.0000,374.0000,468.0000,0.0000
South Dakota Sully,South Dakota,Sully County,740.0000,45033.0000,47108.0000,26727.0000,0.0000,0.0000,149.0000,0.0000
South Dakota Tripp,South Dakota,Tripp County,2610.0000,117612.0000,122233.0000,77003.0000,0.0000,55.0000,178.0000,0.0000
South Dakota Turne,South Dakota,Turner County,3960.0000,219339.0000,225854.0000,154010.0000,0.0000,437.0000,691.0000,0.0000
South Dakota Union,South Dakota,Union County,7940.0000,1194386.0000,1207984.0000,517312.0000,7053.0000,6040.0000,6501.0000,0.0000
South Dakota Walwo,South Dakota,Walworth County,2600.0000,152155.0000,155787.0000,85295.0000,0.0000,140.0000,250.0000,0.0000
South Dakota Yankt,South Dakota,Yankton County,10990.0000,663782.0000,675492.0000,458951.0000,678.0000,1546.0000,2279.0000,0.0000
South Dakota Zieba,South Dakota,Ziebach County,520.0000,19478.0000,19785.0000,14730.0000,0.0000,0.0000,0.0000,0.0000
Tennessee Ander,Tennessee,Anderson County,34700.0000,1988289.0000,2009408.0000,1381103.0000,1291.0000,4664.0000,8450.0000,50.0000
Tennessee Bedfo,Tennessee,Bedford County,21250.0000,1079167.0000,1092844.0000,820344.0000,596.0000,1716.0000,3995.0000,0.0000
Tennessee Bento,Tennessee,Benton County,6650.0000,287604.0000,291119.0000,206315.0000,0.0000,300.0000,712.0000,0.0000
Tennessee Bleds,Tennessee,Bledsoe County,4620.0000,197552.0000,199733.0000,151272.0000,0.0000,202.0000,404.0000,0.0000
Tennessee Bloun,Tennessee,Blount County,61690.0000,3812737.0000,3858856.0000,2598044.0000,4708.0000,10900.0000,19197.0000,123.0000
Tennessee Bradl,Tennessee,Bradley County,46410.0000,2385299.0000,2415790.0000,1796565.0000,2644.0000,6038.0000,11175.0000,41.0000
Tennessee Campb,Tennessee,Campbell County,15000.0000,676643.0000,683747.0000,502279.0000,454.0000,1019.0000,1837.0000,0.0000
Tennessee Canno,Tennessee,Cannon County,6350.0000,303744.0000,306990.0000,230941.0000,0.0000,274.0000,714.0000,0.0000
Tennessee Carro,Tennessee,Carroll County,11350.0000,514764.0000,520862.0000,386062.0000,86.0000,526.0000,1231.0000,0.0000
Tennessee Carte,Tennessee,Carter County,23080.0000,1013098.0000,1024525.0000,733117.0000,510.0000,1521.0000,2783.0000,19.0000
Tennessee Cheat,Tennessee,Cheatham County,19660.0000,1147646.0000,1164509.0000,872436.0000,358.0000,2249.0000,4152.0000,0.0000
Tennessee Chest,Tennessee,Chester County,6780.0000,310669.0000,314308.0000,239135.0000,0.0000,312.0000,815.0000,0.0000
Tennessee Claib,Tennessee,Claiborne County,12330.0000,545436.0000,551324.0000,417127.0000,632.0000,714.0000,1664.0000,0.0000
Tennessee Cocke,Tennessee,Cocke County,15160.0000,576826.0000,581789.0000,440388.0000,182.0000,688.0000,1284.0000,37.0000
Tennessee Coffe,Tennessee,Coffee County,25120.0000,1290028.0000,1306034.0000,930258.0000,656.0000,2627.0000,4587.0000,40.0000
Tennessee Crock,Tennessee,Crockett County,6060.0000,279108.0000,282961.0000,217959.0000,0.0000,221.0000,696.0000,0.0000
Tennessee Cumbe,Tennessee,Cumberland County,27280.0000,1490182.0000,1508093.0000,720220.0000,1346.0000,2466.0000,5218.0000,53.0000
Tennessee David,Tennessee,Davidson County,348200.0000,29241933.000,29699803.000,18558960.000,101834.0000,138954.0000,183635.0000,1596.0000
Tennessee Decat,Tennessee,Decatur County,4590.0000,210253.0000,212571.0000,153330.0000,0.0000,160.0000,465.0000,0.0000
Tennessee DeKal,Tennessee,DeKalb County,8100.0000,375630.0000,381248.0000,282418.0000,0.0000,433.0000,990.0000,0.0000
Tennessee Dicks,Tennessee,Dickson County,24180.0000,1328100.0000,1345056.0000,981190.0000,471.0000,2007.0000,4096.0000,23.0000
Tennessee Fayet,Tennessee,Fayette County,19930.0000,1454385.0000,1473855.0000,1025166.0000,1448.0000,4348.0000,10629.0000,106.0000
Tennessee Fentr,Tennessee,Fentress County,7100.0000,294381.0000,298677.0000,204811.0000,146.0000,391.0000,739.0000,0.0000
Tennessee Frank,Tennessee,Franklin County,18590.0000,1014029.0000,1027687.0000,700375.0000,968.0000,1873.0000,3607.0000,0.0000
Tennessee Gibso,Tennessee,Gibson County,21070.0000,1006677.0000,1019856.0000,763730.0000,287.0000,1249.0000,2784.0000,30.0000
Tennessee Giles,Tennessee,Giles County,12980.0000,634291.0000,642090.0000,468723.0000,714.0000,780.0000,1964.0000,0.0000
Tennessee Grain,Tennessee,Grainger County,9540.0000,436503.0000,441235.0000,332112.0000,206.0000,462.0000,1092.0000,0.0000
Tennessee Green,Tennessee,Greene County,29500.0000,1325807.0000,1341067.0000,974506.0000,825.0000,2109.0000,4508.0000,57.0000
Tennessee Grund,Tennessee,Grundy County,5580.0000,230252.0000,232864.0000,173617.0000,0.0000,162.0000,385.0000,0.0000
Tennessee Hambl,Tennessee,Hamblen County,27050.0000,1354851.0000,1370961.0000,984263.0000,490.0000,1848.0000,3850.0000,35.0000
Tennessee Hamil,Tennessee,Hamilton County,168250.0000,11785058.000,11954053.000,7970037.0000,26670.0000,54876.0000,80739.0000,569.0000
Tennessee Hanco,Tennessee,Hancock County,2290.0000,82951.0000,83762.0000,64385.0000,0.0000,0.0000,96.0000,0.0000
Tennessee Harde,Tennessee,Hardeman County,9630.0000,379321.0000,383332.0000,294788.0000,76.0000,414.0000,1288.0000,82.0000
Tennessee Hardi,Tennessee,Hardin County,10610.0000,522427.0000,529369.0000,362536.0000,517.0000,856.0000,1912.0000,0.0000
Tennessee Hawki,Tennessee,Hawkins County,23530.0000,1081609.0000,1091159.0000,813788.0000,493.0000,1572.0000,3062.0000,37.0000
Tennessee Haywo,Tennessee,Haywood County,7870.0000,311262.0000,314644.0000,240334.0000,0.0000,533.0000,1375.0000,58.0000
Tennessee Hende,Tennessee,Henderson County,11620.0000,537799.0000,543660.0000,409964.0000,68.0000,468.0000,1097.0000,0.0000
Tennessee Henry,Tennessee,Henry County,14210.0000,669920.0000,681059.0000,441660.0000,466.0000,939.0000,2144.0000,0.0000
Tennessee Hickm,Tennessee,Hickman County,9800.0000,439037.0000,444017.0000,338467.0000,0.0000,457.0000,1044.0000,0.0000
Tennessee Houst,Tennessee,Houston County,3310.0000,152969.0000,154861.0000,116641.0000,0.0000,110.0000,295.0000,0.0000
Tennessee Humph,Tennessee,Humphreys County,8090.0000,417254.0000,421748.0000,297285.0000,0.0000,415.0000,948.0000,0.0000
Tennessee Jacks,Tennessee,Jackson County,4560.0000,186418.0000,188750.0000,140958.0000,0.0000,122.0000,320.0000,0.0000
Tennessee Jeffe,Tennessee,Jefferson County,23490.0000,1200242.0000,1214951.0000,843265.0000,1314.0000,2345.0000,4548.0000,25.0000
Tennessee Johns,Tennessee,Johnson County,6280.0000,281646.0000,284970.0000,191614.0000,469.0000,439.0000,1056.0000,0.0000
Tennessee Laude,Tennessee,Lauderdale County,9390.0000,406466.0000,410098.0000,299141.0000,0.0000,369.0000,1193.0000,0.0000
Tennessee Lawre,Tennessee,Lawrence County,17300.0000,804684.0000,814478.0000,605397.0000,250.0000,782.0000,1858.0000,0.0000
Tennessee Lewis,Tennessee,Lewis County,5110.0000,220646.0000,223382.0000,167716.0000,0.0000,255.0000,599.0000,0.0000
Tennessee Linco,Tennessee,Lincoln County,15390.0000,770913.0000,781247.0000,579909.0000,1277.0000,1011.0000,2856.0000,0.0000
Tennessee Loudo,Tennessee,Loudon County,25460.0000,1791835.0000,1813723.0000,1035433.0000,2896.0000,5874.0000,10741.0000,88.0000
Tennessee McMin,Tennessee,McMinn County,22620.0000,1093035.0000,1105429.0000,808050.0000,410.0000,1241.0000,2914.0000,17.0000
