Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable
Missouri Carte,Missouri,Carter County,47,6250,0.936170213,0.063829787,0,,,0.753229107
Missouri Cedar,Missouri,Cedar County,112,13930,0.8125,0.1875,0,,,0.753229107
Missouri Chari,Missouri,Chariton County,288,7615,0.895833333,0.104166667,0,56.6,21.5,0.753229107
Missouri Chris,Missouri,Christian County,114,82055,0.929824561,0.070175439,0,7.9,0,0.753229107
Missouri Clark,Missouri,Clark County,180,6860,0.927777778,0.072222222,0,31.1,20.6,0.753229107
Missouri Clint,Missouri,Clinton County,152,20495,0.940789474,0.059210526,0,,,0.753229107
Missouri Coope,Missouri,Cooper County,192,17615,0.911458333,0.088541667,0,39.4,6.5,0.753229107
Missouri Crawf,Missouri,Crawford County,120,24545,0.95,0.05,0,26.1,0,0.753229107
Missouri Dalla,Missouri,Dallas County,113,16510,0.96460177,0.03539823,0,,,0.753229107
Missouri Davie,Missouri,Daviess County,230,8255,0.77826087,0.22173913,0,10.5,0,0.753229107
Missouri DeKal,Missouri,DeKalb County,238,12705,0.945378151,0.054621849,0,,,0.753229107
Missouri Dougl,Missouri,Douglas County,74,13465,0.932432432,0.067567568,0,,,0.753229107
Missouri Dunkl,Missouri,Dunklin County,218,31270,0.944954128,0.055045872,0,17.7,0,0.753229107
Missouri Frank,Missouri,Franklin County,333,102065,0.924924925,0.075075075,0,102.1,39.5,0.753229107
Missouri Gasco,Missouri,Gasconade County,137,14875,0.941605839,0.058394161,0,15.6,15.6,0.753229107
Missouri Gentr,Missouri,Gentry County,241,6745,0.908713693,0.091286307,0,,,0.753229107
Missouri Green,Missouri,Greene County,464,285450,0.952586207,0.047413793,1,87.9,0,0.753229107
Missouri Grund,Missouri,Grundy County,190,10230,0.852631579,0.147368421,0,39,0,0.753229107
Missouri Harri,Missouri,Harrison County,346,8650,0.846820809,0.153179191,0,,,0.753229107
Missouri Henry,Missouri,Henry County,260,21930,0.926923077,0.073076923,0,25.7,0,0.753229107
Missouri Hicko,Missouri,Hickory County,57,9265,0.842105263,0.157894737,0,,,0.753229107
Missouri Howar,Missouri,Howard County,140,10150,0.907142857,0.092857143,0,14.1,0,0.753229107
Missouri Howel,Missouri,Howell County,188,40265,0.984042553,0.015957447,0,39.8,0,0.753229107
Missouri Jacks,Missouri,Jackson County,911,683645,0.940724479,0.059275521,0,186.4,52.6,0.753229107
Missouri Jaspe,Missouri,Jasper County,462,117375,0.917748918,0.082251082,1,79.7,0,0.753229107
Missouri Jeffe,Missouri,Jefferson County,393,222455,0.93129771,0.06870229,0,71.2,30.6,0.753229107
Missouri Johns,Missouri,Johnson County,477,54230,0.955974843,0.044025157,0,35.5,35.5,0.753229107
Missouri Lacle,Missouri,Laclede County,119,35505,0.915966387,0.084033613,0,34.9,0,0.753229107
Missouri Lafay,Missouri,Lafayette County,246,32790,0.93495935,0.06504065,0,73.6,0,0.753229107
Missouri Lawre,Missouri,Lawrence County,231,38205,0.943722944,0.056277056,0,54.8,0,0.753229107
Missouri Lewis,Missouri,Lewis County,167,10145,0.910179641,0.089820359,0,21.8,0,0.753229107
Missouri Linco,Missouri,Lincoln County,181,54285,0.950276243,0.049723757,0,21.1,0,0.753229107
Missouri Livin,Missouri,Livingston County,189,15055,0.814814815,0.185185185,0,49.6,0,0.753229107
Missouri McDon,Missouri,McDonald County,141,22720,0.886524823,0.113475177,0,21.1,0,0.753229107
Missouri Macon,Missouri,Macon County,290,15400,0.951724138,0.048275862,0,69.9,26.6,0.753229107
Missouri Madis,Missouri,Madison County,117,12405,0.871794872,0.128205128,0,,,0.753229107
Missouri Marie,Missouri,Maries County,69,8985,0.927536232,0.072463768,0,,,0.753229107
Missouri Mario,Missouri,Marion County,189,28860,0.894179894,0.105820106,0,52.9,0,0.753229107
Missouri Merce,Missouri,Mercer County,144,3700,0.722222222,0.277777778,,23.6,0,0.753229107
Missouri Mille,Missouri,Miller County,137,25010,0.919708029,0.080291971,0,,,0.753229107
Missouri Missi,Missouri,Mississippi County,98,14110,0.867346939,0.132653061,0,,,0.753229107
Missouri Monit,Missouri,Moniteau County,94,15840,0.882978723,0.117021277,0,38.3,24.6,0.753229107
Missouri Monro,Missouri,Monroe County,177,8640,0.881355932,0.118644068,0,45.4,0,0.753229107
Missouri Montg,Missouri,Montgomery County,167,11820,0.910179641,0.089820359,0,26.8,0,0.753229107
Missouri Morga,Missouri,Morgan County,106,20180,0.867924528,0.132075472,0,6.6,6.6,0.753229107
Missouri New M,Missouri,New Madrid County,285,18230,0.90877193,0.09122807,0,64.4,0,0.753229107
Missouri Newto,Missouri,Newton County,295,58740,0.959322034,0.040677966,0,61.2,0,0.753229107
Missouri Nodaw,Missouri,Nodaway County,399,23025,0.864661654,0.135338346,0,,,0.753229107
Missouri Orego,Missouri,Oregon County,84,10920,0.964285714,0.035714286,0,14.3,0,0.753229107
Missouri Osage,Missouri,Osage County,100,13705,0.77,0.23,0,23.7,23.7,0.753229107
Missouri Ozark,Missouri,Ozark County,83,9450,0.939759036,0.060240964,0,,,0.753229107
Missouri Pemis,Missouri,Pemiscot County,211,17600,0.867298578,0.132701422,0,32.7,0,0.753229107
Missouri Perry,Missouri,Perry County,119,19150,0.899159664,0.100840336,0,35.3,0,0.753229107
Missouri Petti,Missouri,Pettis County,238,42195,0.894957983,0.105042017,0,25.4,25.4,0.753229107
Missouri Phelp,Missouri,Phelps County,156,44835,0.942307692,0.057692308,0,40.9,0,0.753229107
Missouri Platt,Missouri,Platte County,290,94970,0.955172414,0.044827586,1,39.4,0,0.753229107
Missouri Pulas,Missouri,Pulaski County,106,53300,0.896226415,0.103773585,0,42.4,0,0.753229107
Missouri Putna,Missouri,Putnam County,213,4875,0.868544601,0.131455399,0,14.8,0,0.753229107
Missouri Ralls,Missouri,Ralls County,140,10225,0.885714286,0.114285714,0,27.8,0,0.753229107
Missouri Rando,Missouri,Randolph County,163,25080,0.969325153,0.030674847,0,59.1,0,0.753229107
Missouri Reyno,Missouri,Reynolds County,89,6530,0.97752809,0.02247191,0,,,0.753229107
Missouri Riple,Missouri,Ripley County,116,13935,0.974137931,0.025862069,0,,,0.753229107
Missouri Ste. ,Missouri,Ste. Genevieve County,104,17935,0.961538462,0.038461538,0,32.7,0,0.753229107
Missouri St. F,Missouri,St. Francois County,163,66230,0.901840491,0.098159509,0,40.1,15,0.753229107
Missouri Salin,Missouri,Saline County,232,23215,0.86637931,0.13362069,0,72.1,0,0.753229107
Missouri Schuy,Missouri,Schuyler County,122,4395,0.918032787,0.081967213,0,,,0.753229107
Missouri Scotl,Missouri,Scotland County,198,4895,0.914141414,0.085858586,0,10.1,10.1,0.753229107
Missouri Scott,Missouri,Scott County,185,38995,0.92972973,0.07027027,1,47,0,0.753229107
Missouri Shann,Missouri,Shannon County,61,8255,0.983606557,0.016393443,0,,,0.753229107
Missouri Shelb,Missouri,Shelby County,109,6150,0.798165138,0.201834862,0,24.5,0,0.753229107
Missouri Stodd,Missouri,Stoddard County,438,29790,0.926940639,0.073059361,0,52.8,0,0.753229107
Missouri Stone,Missouri,Stone County,63,31195,0.904761905,0.095238095,0,26.2,0,0.753229107
Missouri Sulli,Missouri,Sullivan County,224,6415,0.888392857,0.111607143,0,18.5,0,0.753229107
Missouri Taney,Missouri,Taney County,146,53855,0.95890411,0.04109589,0,18.5,0,0.753229107
Missouri Texas,Missouri,Texas County,161,25690,0.968944099,0.031055901,0,17.6,0,0.753229107
Missouri Verno,Missouri,Vernon County,392,20835,0.943877551,0.056122449,0,95,0,0.753229107
Missouri Warre,Missouri,Warren County,149,33290,0.946308725,0.053691275,0,18.1,0,0.753229107
Missouri Washi,Missouri,Washington County,152,25000,0.907894737,0.092105263,0,46.4,19.5,0.753229107
Missouri Wayne,Missouri,Wayne County,195,13340,0.923076923,0.076923077,0,32.3,32.3,0.753229107
Missouri Webst,Missouri,Webster County,176,37075,0.926136364,0.073863636,0,48.9,0,0.753229107
Missouri Worth,Missouri,Worth County,83,2060,0.891566265,0.108433735,0,,,0.753229107
Missouri Wrigh,Missouri,Wright County,126,18380,0.920634921,0.079365079,0,27.7,0,0.753229107
Montana Beave,Montana,Beaverhead County,234,9315,0.867521368,0.132478632,0,86.5,0,0.880305656
Montana Big H,Montana,Big Horn County,138,13215,0.956521739,0.043478261,0,114,0,0.880305656
Montana Blain,Montana,Blaine County,108,6610,0.944444444,0.055555556,0,55.8,55.8,0.880305656
Montana Broad,Montana,Broadwater County,28,5690,0.928571429,0.071428571,0,42.2,0,0.880305656
Montana Carbo,Montana,Carbon County,82,10340,0.914634146,0.085365854,0,50.5,0,0.880305656
Montana Carte,Montana,Carter County,40,1295,0.975,0.025,0,,,0.880305656
Montana Casca,Montana,Cascade County,188,82050,0.973404255,0.026595745,1,122.7,0,0.880305656
Montana Chout,Montana,Chouteau County,45,5835,0.911111111,0.088888889,0,53,0,0.880305656
Montana Custe,Montana,Custer County,75,11980,0.946666667,0.053333333,0,51.8,0,0.880305656
Montana Danie,Montana,Daniels County,37,1785,0.918918919,0.081081081,0,27.1,0,0.880305656
Montana Dawso,Montana,Dawson County,113,9430,0.938053097,0.061946903,1,107.7,0,0.880305656
Montana Deer ,Montana,Deer Lodge County,73,9175,0.890410959,0.109589041,0,25.7,0,0.880305656
Montana Fallo,Montana,Fallon County,37,2915,0.945945946,0.054054054,0,38.3,0,0.880305656
Montana Fergu,Montana,Fergus County,156,11430,0.897435897,0.102564103,0,78.9,25.2,0.880305656
Montana Flath,Montana,Flathead County,201,94695,0.900497512,0.099502488,0,112.3,96.4,0.880305656
Montana Galla,Montana,Gallatin County,211,97960,0.981042654,0.018957346,2,79.7,0,0.880305656
Montana Garfi,Montana,Garfield County,29,1060,0.965517241,0.034482759,0,,,0.880305656
Montana Glaci,Montana,Glacier County,74,13695,0.945945946,0.054054054,0,66.7,66.7,0.880305656
Montana Golde,Montana,Golden Valley County,17,730,0.941176471,0.058823529,0,37.5,0,0.880305656
Montana Grani,Montana,Granite County,74,3210,0.824324324,0.175675676,0,28.7,0,0.880305656
Montana Jeffe,Montana,Jefferson County,129,11600,0.976744186,0.023255814,0,44.6,0,0.880305656
Montana Judit,Montana,Judith Basin County,45,1980,0.822222222,0.177777778,0,99.9,0,0.880305656
Montana Lewis,Montana,Lewis and Clark County,207,65990,0.927536232,0.072463768,1,81.7,0,0.880305656
Montana Liber,Montana,Liberty County,10,2290,0.9,0.1,0,26.2,26.2,0.880305656
Montana Linco,Montana,Lincoln County,189,19270,0.851851852,0.148148148,0,129,104.4,0.880305656
Montana McCon,Montana,McCone County,44,1680,0.977272727,0.022727273,0,13.7,0,0.880305656
Montana Madis,Montana,Madison County,91,7810,0.923076923,0.076923077,0,32.5,0,0.880305656
Montana Meagh,Montana,Meagher County,52,1960,0.903846154,0.096153846,0,,,0.880305656
Montana Miner,Montana,Mineral County,149,4225,0.838926174,0.161073826,0,51.4,0,0.880305656
Montana Misso,Montana,Missoula County,208,113100,0.894230769,0.105769231,1,77.5,0,0.880305656
Montana Musse,Montana,Musselshell County,28,4780,0.928571429,0.071428571,0,16,0,0.880305656
Montana Petro,Montana,Petroleum County,26,445,0.807692308,0.192307692,0,,,0.880305656
Montana Phill,Montana,Phillips County,104,4150,0.923076923,0.076923077,0,52.6,52.6,0.880305656
Montana Ponde,Montana,Pondera County,97,6165,0.958762887,0.041237113,0,53.8,0,0.880305656
Montana Powde,Montana,Powder River County,23,1650,0.956521739,0.043478261,0,,,0.880305656
Montana Powel,Montana,Powell County,104,6930,0.913461538,0.086538462,0,64.4,0,0.880305656
Montana Prair,Montana,Prairie County,48,1415,0.854166667,0.145833333,0,60.7,0,0.880305656
Montana Raval,Montana,Ravalli County,147,41130,0.979591837,0.020408163,0,,,0.880305656
Montana Richl,Montana,Richland County,99,11390,0.98989899,0.01010101,1,42.3,0,0.880305656
Montana Roose,Montana,Roosevelt County,55,11230,0.909090909,0.090909091,1,121,93.5,0.880305656
Montana Roseb,Montana,Rosebud County,122,9350,0.967213115,0.032786885,0,82.8,0,0.880305656
Montana Sande,Montana,Sanders County,122,11375,0.942622951,0.057377049,0,135.1,0,0.880305656
Montana Sheri,Montana,Sheridan County,67,3645,0.940298507,0.059701493,0,105.7,0,0.880305656
Montana Silve,Montana,Silver Bow County,68,34560,0.941176471,0.058823529,1,72,0,0.880305656
Montana Still,Montana,Stillwater County,94,9340,0.957446809,0.042553191,0,38.2,0,0.880305656
Montana Sweet,Montana,Sweet Grass County,91,3635,0.967032967,0.032967033,0,37.4,0,0.880305656
Montana Teton,Montana,Teton County,81,6065,0.987654321,0.012345679,0,68.9,0,0.880305656
Montana Toole,Montana,Toole County,34,5115,0.970588235,0.029411765,0,93.4,44.8,0.880305656
Montana Treas,Montana,Treasure County,31,845,0.903225806,0.096774194,0,55.7,0,0.880305656
Montana Valle,Montana,Valley County,106,7575,0.933962264,0.066037736,1,76.7,76.7,0.880305656
Montana Wheat,Montana,Wheatland County,31,2110,0.935483871,0.064516129,0,27,0,0.880305656
Montana Wibau,Montana,Wibaux County,29,1145,0.896551724,0.103448276,,16.9,0,0.880305656
Montana Yello,Montana,Yellowstone County,287,155345,0.979094077,0.020905923,1,159,0,0.880305656
Nebraska Adams,Nebraska,Adams County,214,31535,0.925233645,0.074766355,0,91.9,24.3,0.899117407
Nebraska Antel,Nebraska,Antelope County,162,6420,0.907407407,0.092592593,0,24,0,0.899117407
Nebraska Arthu,Nebraska,Arthur County,,435,,,,,,0.899117407
Nebraska Banne,Nebraska,Banner County,36,795,1,0,,,,0.899117407
Nebraska Blain,Nebraska,Blaine County,20,580,0.75,0.25,0,18.4,0,0.899117407
Nebraska Boone,Nebraska,Boone County,239,5355,0.983263598,0.016736402,0,19.7,0,0.899117407
Nebraska Box B,Nebraska,Box Butte County,29,11280,1,0,1,50.7,0,0.899117407
Nebraska Brown,Nebraska,Brown County,55,3020,0.890909091,0.109090909,0,,,0.899117407
Nebraska Buffa,Nebraska,Buffalo County,463,48400,0.987041037,0.012958963,1,60.9,0,0.899117407
Nebraska Butle,Nebraska,Butler County,209,8205,0.971291866,0.028708134,0,51.3,0,0.899117407
Nebraska Cedar,Nebraska,Cedar County,313,8655,0.900958466,0.099041534,0,18.8,0,0.899117407
Nebraska Chase,Nebraska,Chase County,34,4060,0.970588235,0.029411765,0,17.9,0,0.899117407
Nebraska Cherr,Nebraska,Cherry County,57,5780,0.824561404,0.175438596,0,,,0.899117407
Nebraska Cheye,Nebraska,Cheyenne County,159,10090,0.987421384,0.012578616,0,87.4,0,0.899117407
Nebraska Colfa,Nebraska,Colfax County,253,10500,0.909090909,0.090909091,,18,0,0.899117407
Nebraska Cumin,Nebraska,Cuming County,405,9055,0.950617284,0.049382716,,,,0.899117407
Nebraska Custe,Nebraska,Custer County,310,10785,0.951612903,0.048387097,0,59.2,0,0.899117407
Nebraska Dakot,Nebraska,Dakota County,74,20695,0.864864865,0.135135135,0,33.8,0,0.899117407
Nebraska Dawes,Nebraska,Dawes County,95,9080,0.821052632,0.178947368,1,86.4,0,0.899117407
Nebraska Dawso,Nebraska,Dawson County,299,23925,0.969899666,0.030100334,0,47.6,0,0.899117407
Nebraska Deuel,Nebraska,Deuel County,74,1930,0.986486486,0.013513514,0,26.4,0,0.899117407
Nebraska Dixon,Nebraska,Dixon County,142,5810,0.894366197,0.105633803,,18.1,0,0.899117407
Nebraska Dodge,Nebraska,Dodge County,324,36680,0.969135802,0.030864198,0,77.8,16.2,0.899117407
Nebraska Dougl,Nebraska,Douglas County,509,543255,0.970530452,0.029469548,1,76.3,14.2,0.899117407
Nebraska Dundy,Nebraska,Dundy County,47,1825,1,0,0,41.3,41.3,0.899117407
Nebraska Fillm,Nebraska,Fillmore County,216,5675,0.888888889,0.111111111,0,24.7,23.8,0.899117407
Nebraska Frank,Nebraska,Franklin County,104,3075,0.961538462,0.038461538,0,12.1,0,0.899117407
Nebraska Front,Nebraska,Frontier County,97,2600,0.865979381,0.134020619,0,32,0,0.899117407
Nebraska Furna,Nebraska,Furnas County,177,4850,0.93220339,0.06779661,0,61.9,30.5,0.899117407
Nebraska Garde,Nebraska,Garden County,31,1930,0.903225806,0.096774194,0,32.9,0,0.899117407
Nebraska Garfi,Nebraska,Garfield County,25,1970,0.88,0.12,0,,,0.899117407
Nebraska Gospe,Nebraska,Gosper County,63,1975,0.920634921,0.079365079,0,20.7,0,0.899117407
Nebraska Grant,Nebraska,Grant County,,645,,,0,30.6,0,0.899117407
Nebraska Greel,Nebraska,Greeley County,89,2445,0.887640449,0.112359551,0,7.8,0,0.899117407
Nebraska Hamil,Nebraska,Hamilton County,173,9120,0.947976879,0.052023121,0,56.9,0,0.899117407
Nebraska Harla,Nebraska,Harlan County,93,3465,0.913978495,0.086021505,0,58.9,14,0.899117407
Nebraska Hayes,Nebraska,Hayes County,43,1015,0.860465116,0.139534884,0,12.5,0,0.899117407
Nebraska Hitch,Nebraska,Hitchcock County,92,2865,0.826086957,0.173913043,0,48.5,30.9,0.899117407
Nebraska Hooke,Nebraska,Hooker County,2,670,1,0,0,30.4,0,0.899117407
Nebraska Howar,Nebraska,Howard County,161,6365,0.97515528,0.02484472,0,31.3,0,0.899117407
Nebraska Jeffe,Nebraska,Jefferson County,242,7355,0.776859504,0.223140496,0,48.3,0,0.899117407
Nebraska Johns,Nebraska,Johnson County,173,5165,0.76300578,0.23699422,0,25.8,0,0.899117407
Nebraska Kearn,Nebraska,Kearney County,72,6550,0.986111111,0.013888889,0,25.7,25.7,0.899117407
Nebraska Keith,Nebraska,Keith County,92,8105,1,0,0,84.6,0,0.899117407
Nebraska Keya ,Nebraska,Keya Paha County,22,735,0.863636364,0.136363636,0,,,0.899117407
Nebraska Kimba,Nebraska,Kimball County,91,3715,0.978021978,0.021978022,0,36,0,0.899117407
Nebraska Lanca,Nebraska,Lancaster County,608,301705,0.950657895,0.049342105,1,111.9,33.7,0.899117407
Nebraska Linco,Nebraska,Lincoln County,197,35775,0.939086294,0.060913706,1,143,0,0.899117407
Nebraska Logan,Nebraska,Logan County,4,830,1,0,0,,,0.899117407
Nebraska McPhe,Nebraska,McPherson County,,425,,,0,,,0.899117407
Nebraska Madis,Nebraska,Madison County,296,35125,0.942567568,0.057432432,0,25.7,0,0.899117407
Nebraska Merri,Nebraska,Merrick County,171,7795,0.894736842,0.105263158,0,65.4,0,0.899117407
Nebraska Morri,Nebraska,Morrill County,93,4845,0.978494624,0.021505376,0,102.8,0,0.899117407
Nebraska Nance,Nebraska,Nance County,148,3605,0.925675676,0.074324324,0,34.1,0,0.899117407
Nebraska Nemah,Nebraska,Nemaha County,180,7100,0.666666667,0.333333333,0,19.6,0,0.899117407
Nebraska Nucko,Nebraska,Nuckolls County,253,4350,0.865612648,0.134387352,0,19.1,0,0.899117407
Nebraska Pawne,Nebraska,Pawnee County,191,2695,0.64921466,0.35078534,0,18,0,0.899117407
Nebraska Perki,Nebraska,Perkins County,13,2910,1,0,0,43.6,0,0.899117407
Nebraska Phelp,Nebraska,Phelps County,81,9235,0.938271605,0.061728395,0,34.7,19.1,0.899117407
Nebraska Pierc,Nebraska,Pierce County,177,7180,0.807909605,0.192090395,,25.5,0,0.899117407
Nebraska Platt,Nebraska,Platte County,424,32705,0.931603774,0.068396226,0,67.6,0,0.899117407
Nebraska Red W,Nebraska,Red Willow County,81,10885,0.925925926,0.074074074,0,50.2,30.9,0.899117407
Nebraska Richa,Nebraska,Richardson County,261,8150,0.908045977,0.091954023,0,58.4,0,0.899117407
Nebraska Salin,Nebraska,Saline County,293,14355,0.887372014,0.112627986,0,45,25.1,0.899117407
Nebraska Sarpy,Nebraska,Sarpy County,186,172460,0.956989247,0.043010753,0,41.5,30.1,0.899117407
Nebraska Saund,Nebraska,Saunders County,490,20945,0.889795918,0.110204082,0,70.2,4.6,0.899117407
Nebraska Scott,Nebraska,Scotts Bluff County,248,36600,0.951612903,0.048387097,1,85.2,0,0.899117407
Nebraska Sewar,Nebraska,Seward County,244,17115,0.905737705,0.094262295,0,43.4,0,0.899117407
Nebraska Sheri,Nebraska,Sheridan County,64,5260,1,0,0,43.8,0,0.899117407
Nebraska Sherm,Nebraska,Sherman County,122,3090,0.926229508,0.073770492,0,14.1,0,0.899117407
Nebraska Sioux,Nebraska,Sioux County,36,1275,0.972222222,0.027777778,0,23.3,0,0.899117407
Nebraska Stant,Nebraska,Stanton County,225,6020,0.862222222,0.137777778,0,,,0.899117407
Nebraska Thaye,Nebraska,Thayer County,222,5165,0.923423423,0.076576577,0,25.3,0,0.899117407
Nebraska Thoma,Nebraska,Thomas County,20,675,0.9,0.1,0,33.1,0,0.899117407
Nebraska Thurs,Nebraska,Thurston County,152,6990,0.743421053,0.256578947,0,18.6,0,0.899117407
Nebraska Valle,Nebraska,Valley County,117,4240,0.974358974,0.025641026,0,13.1,0,0.899117407
Nebraska Washi,Nebraska,Washington County,150,20340,0.953333333,0.046666667,0,24,0,0.899117407
Nebraska Wayne,Nebraska,Wayne County,254,9415,0.858267717,0.141732283,0,,,0.899117407
Nebraska Webst,Nebraska,Webster County,194,3665,0.922680412,0.077319588,0,32.7,0,0.899117407
Nebraska Wheel,Nebraska,Wheeler County,13,805,0.923076923,0.076923077,0,,,0.899117407
Nevada Churc,Nevada,Churchill County,68,24150,0.985294118,0.014705882,0,68.5,42,0.873795386
Nevada Clark,Nevada,Clark County,1056,2070155,0.996212121,0.003787879,1,160.2,4.3,0.873795386
Nevada Dougl,Nevada,Douglas County,39,47425,1,0,0,,,0.873795386
Nevada Esmer,Nevada,Esmeralda County,4,1070,1,0,0,,,0.873795386
Nevada Eurek,Nevada,Eureka County,25,1730,0.96,0.04,0,67.5,67.5,0.873795386
Nevada Humbo,Nevada,Humboldt County,53,17090,1,0,0,175.8,112.1,0.873795386
Nevada Lande,Nevada,Lander County,21,5905,1,0,0,52,52,0.873795386
Nevada Linco,Nevada,Lincoln County,20,5155,1,0,0,105.5,0,0.873795386
Nevada Miner,Nevada,Mineral County,4,4520,0.75,0.25,0,42.3,0,0.873795386
Nevada Persh,Nevada,Pershing County,53,6690,0.943396226,0.056603774,0,106.2,75.3,0.873795386
Nevada Store,Nevada,Storey County,15,3940,0.866666667,0.133333333,,10.2,10.2,0.873795386
Nevada Washo,Nevada,Washoe County,299,439915,0.97993311,0.02006689,1,143.5,42,0.873795386
Nevada White,Nevada,White Pine County,5,9895,1,0,0,31.9,31.9,0.873795386
New Hampshire Belkn,New Hampshire,Belknap County,108,60390,0.916666667,0.083333333,0,27.1,9,0.76406884
New Hampshire Carro,New Hampshire,Carroll County,189,47415,0.899470899,0.100529101,0,45.3,29.8,0.76406884
New Hampshire Chesh,New Hampshire,Cheshire County,189,76320,0.888888889,0.111111111,0,2.2,1.7,0.76406884
New Hampshire Graft,New Hampshire,Grafton County,530,89165,0.926415094,0.073584906,1,27.1,6.1,0.76406884
New Hampshire Hills,New Hampshire,Hillsborough County,383,404950,0.898172324,0.101827676,1,43.2,0,0.76406884
New Hampshire Merri,New Hampshire,Merrimack County,321,147715,0.900311526,0.099688474,0,36.7,0,0.76406884
New Hampshire Rocki,New Hampshire,Rockingham County,302,300365,0.90397351,0.09602649,1,35.3,21.8,0.76406884
New Hampshire Straf,New Hampshire,Strafford County,133,125915,0.92481203,0.07518797,0,35.3,13.1,0.76406884
New Hampshire Sulli,New Hampshire,Sullivan County,154,43050,0.922077922,0.077922078,0,24.6,22.7,0.76406884
New Jersey Atlan,New Jersey,Atlantic County,209,274025,0.90430622,0.09569378,1,63,44.4,0.529653452
New Jersey Berge,New Jersey,Bergen County,570,930310,0.940350877,0.059649123,0,98.3,46.9,0.529653452
New Jersey Burli,New Jersey,Burlington County,360,450235,0.908333333,0.091666667,0,37.8,20.7,0.529653452
New Jersey Camde,New Jersey,Camden County,260,511145,0.911538462,0.088461538,0,89.6,37.6,0.529653452
New Jersey Cape ,New Jersey,Cape May County,73,95405,0.835616438,0.164383562,0,37.7,27.3,0.529653452
New Jersey Cumbe,New Jersey,Cumberland County,103,155745,0.941747573,0.058252427,0,51.8,0,0.529653452
New Jersey Essex,New Jersey,Essex County,499,792585,0.941883768,0.058116232,1,75.9,33.5,0.529653452
New Jersey Glouc,New Jersey,Gloucester County,242,291285,0.950413223,0.049586777,0,65.9,0,0.529653452
New Jersey Hudso,New Jersey,Hudson County,190,668525,0.910526316,0.089473684,0,88.5,34.4,0.529653452
New Jersey Hunte,New Jersey,Hunterdon County,368,125710,0.91576087,0.08423913,0,59.6,11,0.529653452
New Jersey Merce,New Jersey,Mercer County,402,371100,0.868159204,0.131840796,1,40.3,21.1,0.529653452
New Jersey Middl,New Jersey,Middlesex County,555,831850,0.947747748,0.052252252,0,149.7,41.9,0.529653452
New Jersey Monmo,New Jersey,Monmouth County,502,627530,0.884462151,0.115537849,0,78,31,0.529653452
New Jersey Morri,New Jersey,Morris County,506,498215,0.922924901,0.077075099,0,84.8,51.1,0.529653452
New Jersey Ocean,New Jersey,Ocean County,238,586165,0.953781513,0.046218487,0,17.5,2,0.529653452
New Jersey Passa,New Jersey,Passaic County,329,507205,0.939209726,0.060790274,0,36.9,16.5,0.529653452
New Jersey Salem,New Jersey,Salem County,111,64505,0.927927928,0.072072072,0,25.6,0,0.529653452
New Jersey Somer,New Jersey,Somerset County,394,331685,0.88071066,0.11928934,0,57.1,23.2,0.529653452
New Jersey Susse,New Jersey,Sussex County,175,144695,0.868571429,0.131428571,0,32.7,0,0.529653452
New Jersey Union,New Jersey,Union County,401,550435,0.942643392,0.057356608,0,67.6,32.7,0.529653452
New Jersey Warre,New Jersey,Warren County,259,107095,0.938223938,0.061776062,0,58.4,2.6,0.529653452
New Mexico Berna,New Mexico,Bernalillo County,492,674775,0.981707317,0.018292683,1,31.7,30.2,0.698534578
New Mexico Catro,New Mexico,Catron County,99,3545,0.898989899,0.101010101,0,,,0.698534578
New Mexico Chave,New Mexico,Chaves County,118,65610,0.966101695,0.033898305,1,89,0,0.698534578
New Mexico Cibol,New Mexico,Cibola County,106,27375,0.952830189,0.047169811,0,59,59,0.698534578
New Mexico Colfa,New Mexico,Colfax County,140,12715,0.957142857,0.042857143,0,58.5,58.5,0.698534578
New Mexico Curry,New Mexico,Curry County,20,50545,1,0,1,49.3,0,0.698534578
New Mexico De Ba,New Mexico,De Baca County,24,1975,1,0,0,68.4,0,0.698534578
New Mexico Grant,New Mexico,Grant County,99,28880,0.909090909,0.090909091,1,53.7,20.1,0.698534578
New Mexico Guada,New Mexico,Guadalupe County,83,4470,0.951807229,0.048192771,0,116.7,0,0.698534578
New Mexico Hardi,New Mexico,Harding County,13,565,0.846153846,0.153846154,0,,,0.698534578
New Mexico Hidal,New Mexico,Hidalgo County,58,4530,0.931034483,0.068965517,0,65.9,36.6,0.698534578
New Mexico Linco,New Mexico,Lincoln County,132,19725,0.96969697,0.03030303,0,74.4,0,0.698534578
New Mexico Los A,New Mexico,Los Alamos County,3,17895,0.666666667,0.333333333,0,,,0.698534578
New Mexico McKin,New Mexico,McKinley County,279,74345,0.946236559,0.053763441,0,163.9,92.9,0.698534578
New Mexico Otero,New Mexico,Otero County,130,65335,0.992307692,0.007692308,0,110.1,0,0.698534578
New Mexico Rio A,New Mexico,Rio Arriba County,157,39925,0.917197452,0.082802548,0,30.6,30.6,0.698534578
New Mexico Roose,New Mexico,Roosevelt County,9,19620,1,0,0,60.8,0,0.698534578
New Mexico Sando,New Mexico,Sandoval County,184,138115,0.902173913,0.097826087,0,31.2,31.2,0.698534578
New Mexico San J,New Mexico,San Juan County,167,122535,0.94011976,0.05988024,0,,,0.698534578
